0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Kratos.jpg HTTP/1.1" 200 143357
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Thor.jpg HTTP/1.1" 200 154093
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Atreus.jpg HTTP/1.1" 200 168110
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Freya.jpg HTTP/1.1" 200 149372
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Angrboda.jpg HTTP/1.1" 200 141013
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Mimir.jpg HTTP/1.1" 200 122578
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Brok.jpg HTTP/1.1" 200 142118
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/GOW/GOW_Sindri.jpg HTTP/1.1" 200 129678
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:36 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:36 +0900] "GET /project1/styles/header.css HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:36 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:36 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:55 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:55 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:55 +0900] "GET /project1/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:55 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:55 +0900] "GET /project1/styles/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:57 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:57 +0900] "GET /project1/styles/footer.css HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:57 +0900] "GET /project1/styles/header.css HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:57 +0900] "GET /project1/styles/nav.css HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:57 +0900] "GET /project1/styles/main.css HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:57 +0900] "GET /project1/image/BF2042/Battlefield_2042_logo.svg.png HTTP/1.1" 200 38205
